# id	buy_limit	guide_price	name  (OSRS wiki prices API + Module:GELimits)
2	11000	243	Steel cannonball
6	70	196416	Cannon base
8	70	182936	Cannon stand
10	70	166004	Cannon barrels
12	70	199851	Cannon furnace
28	15	173	Insect repellent
30	15	1250	Bucket of wax
36	40	249	Candle
39	10000	4	Bronze arrowtips
40	10000	12	Iron arrowtips
41	10000	52	Steel arrowtips
42	10000	83	Mithril arrowtips
43	10000	104	Adamant arrowtips
44	10000	210	Rune arrowtips
45	11000	39	Opal bolt tips
46	11000	6	Pearl bolt tips
47	11000	79	Barb bolttips
48	10000	6	Longbow (u)
50	10000	6	Shortbow (u)
52	7000	1	Arrow shaft
53	11000	10	Headless arrow
54	10000	7	Oak shortbow (u)
56	10000	8	Oak longbow (u)
58	10000	16	Willow longbow (u)
60	10000	6	Willow shortbow (u)
62	10000	61	Maple longbow (u)
64	10000	15	Maple shortbow (u)
66	10000	147	Yew longbow (u)
68	10000	114	Yew shortbow (u)
70	10000	756	Magic longbow (u)
72	10000	505	Magic shortbow (u)
91	10000	414	Guam potion (unf)
93	10000	418	Marrentill potion (unf)
95	10000	366	Tarromin potion (unf)
97	10000	588	Harralander potion (unf)
99	10000	6121	Ranarr potion (unf)
101	10000	1707	Irit potion (unf)
103	10000	2050	Avantoe potion (unf)
105	10000	2629	Kwuarm potion (unf)
107	10000	2526	Cadantine potion (unf)
109	10000	1714	Dwarf weed potion (unf)
111	10000	3755	Torstol potion (unf)
113	2000	106	Strength potion(4)
115	2000	71	Strength potion(3)
117	2000	42	Strength potion(2)
119	2000	25	Strength potion(1)
121	2000	10	Attack potion(3)
123	2000	10	Attack potion(2)
125	2000	6	Attack potion(1)
127	2000	25	Restore potion(3)
129	2000	21	Restore potion(2)
131	2000	1	Restore potion(1)
133	2000	355	Defence potion(3)
135	2000	177	Defence potion(2)
137	2000	98	Defence potion(1)
139	2000	6816	Prayer potion(3)
141	2000	4762	Prayer potion(2)
143	2000	2434	Prayer potion(1)
145	2000	1480	Super attack(3)
147	2000	960	Super attack(2)
149	2000	475	Super attack(1)
151	2000	20	Fishing potion(3)
153	2000	64	Fishing potion(2)
155	2000	13	Fishing potion(1)
157	2000	2378	Super strength(3)
159	2000	1450	Super strength(2)
161	2000	711	Super strength(1)
163	2000	2412	Super defence(3)
165	2000	1064	Super defence(2)
167	2000	947	Super defence(1)
169	2000	1457	Ranging potion(3)
171	2000	1087	Ranging potion(2)
173	2000	478	Ranging potion(1)
175	2000	292	Antipoison(3)
177	2000	134	Antipoison(2)
179	2000	126	Antipoison(1)
181	2000	1319	Superantipoison(3)
183	2000	608	Superantipoison(2)
185	2000	750	Superantipoison(1)
187	2000	294	Weapon poison
189	2000	421	Zamorak brew(3)
191	2000	241	Zamorak brew(2)
193	2000	226	Zamorak brew(1)
197	2000	2249	Poison chalice
199	13000	235	Grimy guam leaf
201	13000	204	Grimy marrentill
203	13000	219	Grimy tarromin
205	13000	328	Grimy harralander
207	11000	5707	Grimy ranarr weed
209	13000	1362	Grimy irit leaf
211	13000	1655	Grimy avantoe
213	13000	2151	Grimy kwuarm
215	11000	2084	Grimy cadantine
217	11000	1266	Grimy dwarf weed
219	11000	3403	Grimy torstol
221	13000	5	Eye of newt
223	13000	186	Red spiders' eggs
225	13000	230	Limpwurt root
227	13000	4	Vial of water
229	13000	2	Vial
231	13000	776	Snape grass
233	40	204	Pestle and mortar
235	13000	701	Unicorn horn dust
237	13000	574	Unicorn horn
239	13000	686	White berries
241	13000	74	Dragon scale dust
243	13000	20	Blue dragon scale
245	11000	950	Wine of Zamorak
247	13000	348	Jangerberries
249	13000	350	Guam leaf
251	13000	304	Marrentill
253	13000	380	Tarromin
255	13000	385	Harralander
257	11000	5882	Ranarr weed
259	13000	1459	Irit leaf
261	13000	1838	Avantoe
263	13000	2361	Kwuarm
265	11000	2226	Cadantine
267	11000	1365	Dwarf weed
269	11000	3527	Torstol
272	15	175	Fish food
273	15	672	Poison (item)
288	15	225	Goblin mail
299	18000	705	Mithril seeds
301	40	124	Lobster pot
303	40	174	Small fishing net
305	40	104	Big fishing net
307	40	96	Fishing rod
309	40	96	Fly fishing rod
311	40	89	Harpoon
313	8000	5	Fishing bait
314	30000	2	Feather
315	6000	24	Shrimps
317	15000	24	Raw shrimps
319	15000	40	Anchovies
321	13000	15	Raw anchovies
325	6000	17	Sardine
327	15000	25	Raw sardine
329	6000	27	Salmon
331	15000	29	Raw salmon
333	6000	20	Trout
335	15000	43	Raw trout
339	6000	22	Cod
341	15000	30	Raw cod
345	15000	51	Raw herring
347	6000	13	Herring
349	15000	112	Raw pike
351	6000	51	Pike
